Provinsi,Tahun,Semangka_Ton,Salak_Ton,Nanas_Ton,Nangka_Ton,Mangga_Ton,JerukBesar_Ton,JambuAir_Ton,Pepaya_Ton,Rambutan_Ton,Alpukat_Ton,Durian_Ton,JambuBiji_Ton
JAWA TENGAH,2013,55395,451663,113092,86520,404443,9610,17774,148898,71380,26831,69542,36718
DI YOGYAKARTA,2013,10153,106146,636,26714,36889,448,2232,12664,10519,6245,7364,4514
JAWA TIMUR,2013,133071,58778,197165,105389,799411,20792,13641,291789,89779,53593,180067,22149
BANTEN,2013,1835,2052,468,7545,57189,302,5551,10468,33547,1666,40823,3729
BALI,2013,21328,32194,463,33019,36643,433,666,7869,7397,2240,8342,1513
NUSA TENGGARA BARAT,2013,3514,17,43799,48097,110637,2886,1968,7637,7325,1178,6598,10037
NUSA TENGGARA TIMUR,2013,547,858,6788,22694,61493,4433,1170,52781,2425,9312,969,4468
KALIMANTAN BARAT,2013,3888,913,90570,7168,3760,1312,1442,9812,14539,140,24110,1391
KALIMANTAN TENGAH,2013,2136,1579,9734,18355,4986,895,806,3217,12079,91,12834,1293
KALIMANTAN SELATAN,2013,9620,931,10949,11572,5780,1385,1775,5664,12143,28,12591,2273
KALIMANTAN TIMUR,2013,13561,8334,26731,16915,10167,704,1083,21845,17765,478,14554,1356
KALIMANTAN UTARA,2013,,,,,,,,,,,,
SULAWESI UTARA,2013,431,63,1235,1417,6180,406,380,4468,3924,1572,4975,517
SULAWESI TENGAH,2013,1118,1120,1102,10215,17473,1000,1954,4871,16081,4457,15240,1206
SULAWESI SELATAN,2013,5296,11811,2009,22011,148117,33052,1624,30688,51623,18630,52393,9659
SULAWESI TENGGARA,2013,1887,526,1736,4663,16140,1316,992,8524,13492,505,6159,892
GORONTALO,2013,94,2,205,708,3548,111,38,425,529,24,961,49
SULAWESI BARAT,2013,92,69,825,2908,11006,429,147,1220,2334,521,5699,158
MALUKU,2013,418,341,453,2151,5216,505,333,8487,953,530,4626,294
MALUKU UTARA,2013,209,34,53,632,1269,143,103,362,705,126,1292,65
PAPUA BARAT,2013,1124,132,56,501,383,65,109,387,1046,158,1172,537
PAPUA,2013,3248,151,136,615,806,370,194,695,1099,323,612,177
ACEH,2012,23972,337,545,9401,39465,11627,3057,12535,30160,4231,37203,3371
SUMATERA UTARA,2012,79439,350010,262090,16444,35471,11897,7940,31658,26908,7954,102766,19861
SUMATERA BARAT,2012,16209,2758,278,8133,8665,230,2184,11623,11321,42600,45116,2132
RIAU,2012,8395,920,92445,11327,7337,291,1312,12966,9223,594,13250,2471
JAMBI,2012,6105,841,144896,12854,3898,2074,1192,29791,52249,2826,32768,1642
SUMATERA SELATAN,2012,6342,920,47341,10859,14294,603,1895,7064,15504,4198,28344,1797
BENGKULU,2012,8533,3683,482,7461,6309,641,986,9290,9610,6489,17487,1755
LAMPUNG,2012,30199,6264,585608,29395,21725,640,3976,103312,34934,10886,45396,2850
KEP. BANGKA BELITUNG,2012,3331,1173,24107,9987,3634,129,529,1355,5942,376,9956,488
KEP. RIAU,2012,1785,1072,1851,2903,3887,162,325,1671,7296,72,4744,167
DKI JAKARTA,2012,0,248,0,1990,15413,101,3528,1133,4193,304,937,2385
JAWA BARAT,2012,16272,40816,174451,90468,344205,3281,20396,75980,131942,89797,76599,65897
JAWA TENGAH,2012,76473,443840,69058,91762,422992,4506,19548,78292,82557,23119,79236,33977
DI YOGYAKARTA,2012,5076,40262,600,21799,41688,349,2277,11410,19474,7566,8528,4741
JAWA TIMUR,2012,136211,76356,196581,113260,840315,27709,13713,323371,104998,50101,158341,19642
BANTEN,2012,1649,1595,394,6240,52188,154,5065,11573,31907,1023,47466,4721
BALI,2012,12906,34060,546,33006,40372,405,880,7864,13219,1997,14134,1380
NUSA TENGGARA BARAT,2012,1568,13,11003,41915,137689,4148,3013,6953,4078,768,3587,10633
NUSA TENGGARA TIMUR,2012,653,804,7282,24550,71430,4115,884,53400,4131,10306,1172,5004
KALIMANTAN BARAT,2012,2691,1383,108704,11776,5674,1387,1796,9521,21437,233,25100,1752
KALIMANTAN TENGAH,2012,2604,1208,14252,18169,5379,669,994,3457,15882,128,10636,1629
KALIMANTAN SELATAN,2012,49829,898,7790,11193,6205,1404,1596,5662,19588,30,13291,2178
KALIMANTAN TIMUR,2012,8145,9340,21074,15603,10774,657,1011,21005,16232,744,17359,1319
KALIMANTAN UTARA,2012,,,,,,,,,,,,
SULAWESI UTARA,2012,530,65,2448,1401,6025,403,595,5656,3701,2866,5793,651
SULAWESI TENGAH,2012,1017,785,1085,11179,18353,1066,2140,6905,17718,4096,16543,1513
SULAWESI SELATAN,2012,7755,13572,2265,34401,158006,31462,1584,42517,44400,18210,38210,11771
SULAWESI TENGGARA,2012,2252,392,2637,5138,19833,1242,726,7959,11031,515,5171,1078
GORONTALO,2012,61,1,235,794,3942,115,32,422,456,19,939,55
SULAWESI BARAT,2012,441,75,840,5516,19805,500,153,1404,2141,451,3987,273
MALUKU,2012,921,757,368,1574,3546,231,219,6461,1344,348,6788,329
MALUKU UTARA,2012,255,135,149,519,3633,375,87,1236,801,444,12184,82
PAPUA BARAT,2012,819,362,163,1175,1181,186,310,1376,946,506,2846,351
PAPUA,2012,3098,462,331,1744,3006,629,449,1490,2020,403,2253,256
ACEH,2011,16542,381,845,8115,27053,12333,2666,14830,28100,7462,27044,2387
SUMATERA UTARA,2011,96559,360813,183213,14242,31743,5491,5207,36056,30528,8084,79659,20716
SUMATERA BARAT,2011,15295,3134,300,7203,9308,187,2363,11784,13385,38553,37133,1467
RIAU,2011,9604,827,109374,14623,6005,374,1317,7393,10382,639,11787,2898
JAMBI,2011,3984,403,67530,9532,3459,633,1194,19575,9623,1737,16693,1262
SUMATERA SELATAN,2011,7615,1504,76423,9630,9284,422,1906,4832,11015,3641,23100,1985
BENGKULU,2011,9249,3802,486,6465,5169,388,931,7705,11144,3606,33102,1273
LAMPUNG,2011,26300,7228,505337,28404,24752,1084,4101,123341,17396,11547,42550,2571
KEP. BANGKA BELITUNG,2011,3193,785,7549,6624,4143,75,398,1674,5888,270,10716,304
KEP. RIAU,2011,1813,176,1410,3171,4047,96,381,1847,6791,63,4216,166
DKI JAKARTA,2011,0,32,0,532,3602,2,620,341,769,54,226,776
JAWA BARAT,2011,23856,68595,315016,95089,357188,4149,35938,98253,211364,96425,157030,75455
JAWA TENGAH,2011,83545,437401,92953,82886,350780,4912,14974,50034,126093,16473,76334,31298
DI YOGYAKARTA,2011,7605,25807,353,15867,31011,280,1204,7262,19781,1758,4242,2591
JAWA TIMUR,2011,104756,104722,40045,100008,754930,12967,9825,363008,110184,46371,111207,18481
BANTEN,2011,2114,1917,475,5837,37286,552,3718,5603,17271,721,26291,4704
BALI,2011,10300,31896,646,29384,39551,413,731,9234,16698,1910,17059,1669
NUSA TENGGARA BARAT,2011,1879,22,10491,65789,113830,3058,3223,11135,8763,989,6431,16187
NUSA TENGGARA TIMUR,2011,444,1046,7454,24933,71962,3851,1000,64828,5788,15006,1211,6372
KALIMANTAN BARAT,2011,2104,1571,73815,7602,4777,1305,1851,11125,11659,117,23635,1621
KALIMANTAN TENGAH,2011,3173,917,16749,22433,4815,518,1024,2762,25748,85,17533,1804
KALIMANTAN SELATAN,2011,44054,1532,6207,19472,11479,1556,1532,5643,26284,32,25270,2258
KALIMANTAN TIMUR,2011,8280,9989,13929,14463,10870,491,763,29443,16589,545,10865,1331
KALIMANTAN UTARA,2011,,,,,,,,,,,,
SULAWESI UTARA,2011,455,59,2413,1360,5929,392,555,5544,3631,2737,5741,601
SULAWESI TENGAH,2011,1809,849,1094,11129,31702,1677,2108,9958,18963,4243,31883,1654
SULAWESI SELATAN,2011,7135,14683,1759,35628,124058,35591,1425,35111,31709,10589,37533,7859
SULAWESI TENGGARA,2011,1674,434,2688,5032,18572,1888,1263,8831,9029,456,4615,1223
GORONTALO,2011,53,2,245,835,4420,124,19,501,355,16,1167,40
SULAWESI BARAT,2011,213,150,849,4534,15780,857,229,1662,3967,405,28353,238
MALUKU,2011,241,848,537,2159,9338,369,230,6413,515,592,5414,233
MALUKU UTARA,2011,193,160,92,394,2367,245,128,496,649,356,2902,67
PAPUA BARAT,2011,256,167,112,436,477,159,119,399,434,156,861,186
PAPUA,2011,3357,273,237,997,1452,630,213,1628,1414,315,2166,159
ACEH,2010,21673,433,1015,7546,21281,11226,2953,10349,13536,5095,15192,2434
SUMATERA UTARA,2010,34196,328877,102438,15053,28132,7235,6536,29040,43777,7644,66487,35261
SUMATERA BARAT,2010,11218,2994,507,7145,7309,124,3013,8985,8663,29457,22112,1474
RIAU,2010,7588,1013,19838,14875,5341,285,2155,7570,5362,535,2374,2445
JAMBI,2010,2655,377,31165,17290,2207,579,1403,21881,2463,2379,7036,1494
SUMATERA SELATAN,2010,6894,1918,114305,10358,8310,437,2363,7567,11321,3382,13188,2601
BENGKULU,2010,7646,3088,570,3901,3314,647,420,6485,3171,2219,5041,1384
LAMPUNG,2010,28240,7364,469034,25381,12480,735,4957,50959,22995,9864,36682,3895
KEP. BANGKA BELITUNG,2010,4695,1044,9754,2756,2810,203,353,1431,2540,328,2616,319
KEP. RIAU,2010,366,132,4406,2844,2170,88,136,2340,4873,80,2235,87
DKI JAKARTA,2010,0,26,0,433,3307,0,573,544,692,44,260,776
JAWA BARAT,2010,19322,50638,385640,62401,137104,3553,16610,62101,83317,61096,39719,49203
JAWA TENGAH,2010,46898,135457,58163,75438,203912,7117,15054,43006,67375,15562,41765,26659
DI YOGYAKARTA,2010,8475,57801,547,20825,11841,240,1838,7892,20126,3697,5383,3042
JAWA TIMUR,2010,96089,72765,72404,81777,416803,22531,8716,202000,64052,44540,87037,17709
BANTEN,2010,776,1895,490,6040,15947,627,3805,5631,19653,760,8760,5954
BALI,2010,17929,40676,863,20483,28924,656,971,10068,12421,1626,5811,1401
NUSA TENGGARA BARAT,2010,2688,75,20699,59209,104669,4144,2488,24269,3118,679,2830,16559
NUSA TENGGARA TIMUR,2010,1483,969,8982,23995,68948,5910,985,71362,4304,16048,1402,7030
KALIMANTAN BARAT,2010,1853,2061,56190,6614,1960,1019,1291,10371,4512,224,8061,2004
KALIMANTAN TENGAH,2010,3810,2553,15921,20396,4576,788,1052,2282,17651,52,10000,1893
KALIMANTAN SELATAN,2010,4684,1268,2539,15768,2837,1612,1581,5468,8683,6,7609,2397
KALIMANTAN TIMUR,2010,5733,22205,14834,15534,10450,653,1341,23254,15953,555,9639,2020
KALIMANTAN UTARA,2010,,,,,,,,,,,,
SULAWESI UTARA,2010,1500,2397,10183,5633,16905,776,631,7930,26490,4865,8265,913
SULAWESI TENGAH,2010,1469,932,995,9255,19490,1125,1507,6346,8312,2533,17703,1685
SULAWESI SELATAN,2010,5022,9508,1479,31996,100935,12048,1307,28889,28645,7701,36475,10901
SULAWESI TENGGARA,2010,1207,330,1815,4785,25783,2275,958,7917,9581,392,4522,1211
GORONTALO,2010,80,8,278,1062,4452,198,29,558,128,54,793,74
SULAWESI BARAT,2010,178,207,533,5194,8205,2645,430,2002,3545,732,15335,839
MALUKU,2010,127,115,308,956,1776,134,170,2580,207,170,3080,36
MALUKU UTARA,2010,553,285,87,615,1484,756,46,265,950,391,1753,95
PAPUA BARAT,2010,529,313,273,1899,1885,157,127,2690,3307,786,2000,391
PAPUA,2010,3055,152,190,870,1740,608,174,1769,1129,782,974,365
ACEH,2009,13976,605,973,7171,22422,9350,2448,8652,20864,4024,14893,2219
SUMATERA UTARA,2009,43207,259103,134077,19401,21971,3968,6046,27659,60153,7481,102580,24682
SUMATERA BARAT,2009,11868,1881,983,6765,9649,110,2248,9011,18571,23093,37388,1095
RIAU,2009,7289,776,66422,17522,7029,364,10618,8842,21989,530,11510,2921
JAMBI,2009,1359,863,75008,13334,2798,359,913,43262,18629,4056,24287,1832
SUMATERA SELATAN,2009,11588,2038,140850,14333,13589,386,3065,7225,22875,4172,36112,3718
BENGKULU,2009,8948,1506,625,3845,3966,2100,814,7919,7417,2255,24343,956
LAMPUNG,2009,29113,5409,442431,22767,15517,626,3396,53354,28380,9257,30463,3090
KEP. BANGKA BELITUNG,2009,3989,1908,9266,4438,3440,167,348,1442,4927,452,8566,464
KEP. RIAU,2009,1061,322,2726,3014,1843,162,187,1889,6533,45,6333,113
DKI JAKARTA,2009,0,29,0,443,2783,0,487,692,617,48,288,794
JAWA BARAT,2009,41149,149228,465802,85927,398159,4514,28994,90470,275238,81844,70362,70997
JAWA TENGAH,2009,86727,174519,21363,86358,423752,7630,14274,55956,115269,19030,74368,25616
DI YOGYAKARTA,2009,7351,62572,542,19969,41775,157,1597,9093,24923,4461,9217,4113
JAWA TIMUR,2009,114420,74042,44275,97876,694314,36501,10365,231975,143208,50620,141522,19057
BANTEN,2009,3029,1394,369,6207,23991,366,3091,4061,23541,617,28152,3076
BALI,2009,15826,46214,1089,21012,59868,1428,1033,9808,15859,2076,15650,1828
NUSA TENGGARA BARAT,2009,3057,75,50105,66015,99360,3646,2809,17077,9455,1131,6085,20476
NUSA TENGGARA TIMUR,2009,1952,1208,7298,30008,155999,8287,1214,63535,5156,20495,910,9270
KALIMANTAN BARAT,2009,3317,4067,34874,16643,3847,1172,1831,10585,19953,449,32387,2411
KALIMANTAN TENGAH,2009,3756,1915,34444,21799,6706,1047,1192,4368,30856,95,16915,1904
KALIMANTAN SELATAN,2009,42923,1115,3667,14807,6403,1657,1679,5421,24482,33,17969,2222
KALIMANTAN TIMUR,2009,8085,22334,10762,18975,12588,1068,1300,39817,28715,681,16359,2061
KALIMANTAN UTARA,2009,,,,,,,,,,,,
SULAWESI UTARA,2009,1591,5557,5125,3502,16007,766,567,5635,13965,4581,11974,826
SULAWESI TENGAH,2009,969,519,761,5260,13794,464,710,2728,5724,1259,10027,796
SULAWESI SELATAN,2009,2972,8395,1915,28505,147423,14701,1342,37232,25855,11827,25877,11187
SULAWESI TENGGARA,2009,2173,362,1110,3306,10062,1524,701,4357,4353,161,1981,858
GORONTALO,2009,270,5,210,1018,3901,77,61,794,133,59,666,139
SULAWESI BARAT,2009,60,120,469,6458,11533,2097,920,1731,4734,966,9050,459
MALUKU,2009,29,129,144,1007,2106,158,355,2790,289,417,5538,223
MALUKU UTARA,2009,476,37,79,462,605,73,38,186,167,74,334,54
PAPUA BARAT,2009,810,131,201,3714,724,190,96,2789,1812,902,2036,398
PAPUA,2009,1358,636,231,1583,5516,813,146,2489,2199,451,3656,347
ACEH,2008,26006,187,982,3271,15212,8786,1170,4293,14911,1386,8732,1472
SUMATERA UTARA,2008,36436,229511,144266,24008,26365,2491,12795,23287,67639,9093,128803,22782
SUMATERA BARAT,2008,14383,2305,932,7313,6393,140,2140,8900,24626,29115,41974,1499
RIAU,2008,7531,633,45585,12449,6012,432,7762,6566,11850,358,10571,2610
JAMBI,2008,1927,296,16604,12425,2672,273,1449,25954,42676,4743,13482,1203
SUMATERA SELATAN,2008,9223,1335,96797,13500,9479,560,3733,5500,21143,3719,24159,3918
BENGKULU,2008,18579,2710,625,5527,3484,1040,840,7941,8802,3378,26904,794
LAMPUNG,2008,16976,6712,486597,29046,42846,766,5012,70464,33102,12951,31211,3416
KEP. BANGKA BELITUNG,2008,3588,1067,5782,5270,1899,223,670,1477,3121,325,2417,1347
KEP. RIAU,2008,479,116,3974,2507,255,65,146,1436,2445,53,4551,79
DKI JAKARTA,2008,0,73,3,368,2691,0,560,508,695,50,129,592
JAWA BARAT,2008,20374,143470,412922,111275,474777,3378,30550,86562,275392,72324,91097,72720
JAWA TENGAH,2008,58142,251173,31362,122973,348808,4756,16189,59050,120774,23016,65019,23413
DI YOGYAKARTA,2008,7047,59929,551,19879,34619,144,1461,11235,27456,4116,6288,4528
JAWA TIMUR,2008,80725,53287,111086,99071,691904,24289,9803,210680,137845,40482,91078,17936
BANTEN,2008,2453,771,305,5326,23965,149,2402,4853,19667,422,23274,5190
BALI,2008,21133,56413,1090,15645,67644,640,991,9728,18351,1432,8403,1673
NUSA TENGGARA BARAT,2008,1757,46,3601,49691,61320,1333,1958,7465,6460,572,3289,15587
NUSA TENGGARA TIMUR,2008,2310,824,5674,30888,109894,6743,1174,64248,5114,11545,787,7579
KALIMANTAN BARAT,2008,1760,1598,20320,9139,2356,565,1565,3017,10573,282,16436,1917
KALIMANTAN TENGAH,2008,4212,874,16692,12744,4662,451,697,2436,18988,58,8040,1381
KALIMANTAN SELATAN,2008,18491,1121,3602,11437,6156,2478,1565,4366,20253,42,9276,2617
KALIMANTAN TIMUR,2008,10106,31163,15019,18179,7281,603,1073,47071,38141,524,6075,1876
KALIMANTAN UTARA,2008,,,,,,,,,,,,
SULAWESI UTARA,2008,1561,5553,4995,3333,12360,742,528,5030,13715,4542,11500,814
SULAWESI TENGAH,2008,603,515,671,5083,11709,458,633,2667,5569,1254,9196,778
SULAWESI SELATAN,2008,2193,8953,1631,24497,107326,9493,1363,27579,13365,15818,21104,12113
SULAWESI TENGGARA,2008,867,322,450,5463,5391,826,751,3182,7580,192,1886,868
GORONTALO,2008,7,3,268,792,3109,158,76,712,33,38,224,139
SULAWESI BARAT,2008,8,102,303,9588,7227,3326,490,1201,2553,1148,3947,316
MALUKU,2008,78,122,211,984,2402,63,149,3628,194,207,5338,212
MALUKU UTARA,2008,428,300,25,540,459,783,1540,3265,3134,247,1975,520
PAPUA BARAT,2008,373,357,53,1627,545,33,45,1010,759,540,1957,146
PAPUA,2008,1781,624,155,1617,3863,434,215,2588,1333,243,3201,225
ACEH,2007,25501,533,710,7981,25347,9317,1636,9016,38847,5700,29442,1512
SUMATERA UTARA,2007,39222,247406,119589,22485,34349,1222,10606,22154,49544,6808,126211,15660
SUMATERA BARAT,2007,13549,1644,824,5825,3827,70,1107,6519,16560,21968,26524,1017
RIAU,2007,7341,390,33753,10144,4820,525,1368,4314,13382,316,8739,1839
JAMBI,2007,2653,362,10148,22285,3054,2509,1101,37514,64649,3923,11987,1681
SUMATERA SELATAN,2007,7363,724,54461,11134,7418,958,4204,5101,12007,2204,15390,4198
BENGKULU,2007,9709,1572,618,2944,2175,1039,803,7029,4309,2230,21190,422
LAMPUNG,2007,13517,6828,396815,26807,17140,476,3254,28262,23976,6351,27863,3241
KEP. BANGKA BELITUNG,2007,3448,1150,4703,7963,2147,390,381,1598,1601,354,2321,358
KEP. RIAU,2007,145,93,271,1261,335,32,42,247,233,34,170,29
DKI JAKARTA,2007,0,86,0,702,1817,0,1059,848,1145,47,67,836
JAWA BARAT,2007,26910,131735,540684,83936,447565,3179,23893,100188,175533,75397,59831,65131
JAWA TENGAH,2007,72191,171218,34239,76469,263507,929,13385,55303,56727,6027,44948,16549
DI YOGYAKARTA,2007,11564,58891,556,23414,33006,231,1772,12618,18877,3694,5277,3983
JAWA TIMUR,2007,78031,54893,93549,76625,593824,28984,12201,149107,84672,35392,79184,14309
BANTEN,2007,1486,2475,289,10764,12020,223,3629,3642,9841,220,16729,3946
BALI,2007,12992,79364,1131,18000,47828,162,967,11620,14833,1125,8027,1678
NUSA TENGGARA BARAT,2007,1955,22,44431,72453,103015,2084,2720,14107,6714,1516,5475,19075
NUSA TENGGARA TIMUR,2007,1338,547,4476,20036,60275,6453,715,50417,2383,10249,518,4549
KALIMANTAN BARAT,2007,1815,2348,22307,7293,1214,733,990,4785,11901,94,16959,847
KALIMANTAN TENGAH,2007,1781,810,13872,16176,4791,763,1185,3436,12042,43,4925,2278
KALIMANTAN SELATAN,2007,3291,836,3943,11883,5241,597,604,4482,15743,32,4673,2263
KALIMANTAN TIMUR,2007,5460,24731,5574,14446,3673,410,887,40266,18931,221,8122,1568
KALIMANTAN UTARA,2007,,,,,,,,,,,,
SULAWESI UTARA,2007,1688,5243,3703,2825,12989,649,383,6223,9931,3329,10489,1144
SULAWESI TENGAH,2007,468,351,455,5241,6342,243,909,4534,3486,982,4579,877
SULAWESI SELATAN,2007,4495,10275,2711,29414,96198,9541,1428,21946,27826,11327,33549,8813
SULAWESI TENGGARA,2007,495,171,457,3756,2429,988,716,2782,4434,51,2709,451
GORONTALO,2007,22,23,242,802,3545,35,86,655,108,21,247,137
SULAWESI BARAT,2007,8,48,425,3691,9607,341,114,891,1524,120,3013,122
MALUKU,2007,56,127,239,1881,4998,196,237,4395,341,411,8123,275
MALUKU UTARA,2007,420,220,90,1037,355,454,1168,4421,1567,164,2245,276
PAPUA BARAT,2007,,,,,,,,,,,,
PAPUA,2007,,,,,,,,,,,,
ACEH,2006,31486,478,695,4497,32677,8873,8564,13395,37671,5239,57120,4146
SUMATERA UTARA,2006,50401,248410,130451,24801,31473,665,11309,19600,38612,6735,125742,13782
SUMATERA BARAT,2006,15651,1949,734,6867,6280,69,1882,3843,19165,19247,47788,572
RIAU,2006,8415,1073,46400,12996,5404,776,2793,8215,20277,468,12696,3755
JAMBI,2006,3012,129,9048,13152,1892,277,2112,9823,12085,2248,19223,3356
SUMATERA SELATAN,2006,5917,616,141542,20258,11363,4057,10929,7266,29036,5305,44160,5757
BENGKULU,2006,2112,983,106,4383,1697,92,776,2087,5589,1779,36795,696
LAMPUNG,2006,11871,10058,303766,29744,16971,2827,3364,24538,25199,9772,18472,4097
KEP. BANGKA BELITUNG,2006,2223,2118,1365,18002,1687,286,837,2037,1498,291,4277,436
KEP. RIAU,2006,170,1,597,160,406,0,2,16,256,8,33,0
DKI JAKARTA,2006,0,58,0,870,1295,0,1072,1114,1146,35,98,1661
JAWA BARAT,2006,16651,123646,615375,71973,371800,3324,22479,101184,204465,77617,89420,47736
JAWA TENGAH,2006,92160,202432,34734,90859,206672,1196,17321,62438,102140,15105,62632,19697
DI YOGYAKARTA,2006,11042,68956,456,23135,29364,438,1562,11670,20986,2524,4910,5035
JAWA TIMUR,2006,96516,82444,90875,84010,627911,41131,20392,214855,95786,44795,49721,22224
BANTEN,2006,1562,2362,255,10522,14405,381,4685,3788,20526,1908,19163,7443
BALI,2006,12924,62445,1684,24020,45760,123,1408,17331,16696,1313,3704,2642
NUSA TENGGARA BARAT,2006,2780,17,3005,108720,68869,976,3044,9470,5788,834,5693,27859
NUSA TENGGARA TIMUR,2006,823,611,2580,15383,42066,4124,464,31193,1353,28628,571,5062
KALIMANTAN BARAT,2006,2336,2733,17936,13131,3066,1034,2666,4678,41167,340,39604,1967
KALIMANTAN TENGAH,2006,3074,1247,11751,19631,4203,509,1174,4303,21553,29,2843,1906
KALIMANTAN SELATAN,2006,5239,786,2823,10225,6298,143,2029,4482,23978,11,13618,1406
KALIMANTAN TIMUR,2006,6438,14273,2865,22817,3567,509,1135,29412,12476,281,14265,2918
KALIMANTAN UTARA,2006,,,,,,,,,,,,
SULAWESI UTARA,2006,892,4850,4249,3218,12123,629,444,3937,10380,3323,11222,900
SULAWESI TENGAH,2006,208,220,403,6083,6499,641,1103,3153,4464,1934,7147,1071
SULAWESI SELATAN,2006,4906,27214,1789,19491,46874,9602,2689,33965,12793,7345,30465,7944
SULAWESI TENGGARA,2006,2130,170,1023,10890,6806,1280,1109,4452,2578,92,3623,471
GORONTALO,2006,22,31,147,1210,1452,102,85,345,353,33,313,223
SULAWESI BARAT,2006,29,115,409,4772,6605,278,124,947,4800,76,4802,200
MALUKU,2006,0,119,256,1967,3846,108,230,4688,251,346,6928,467
MALUKU UTARA,2006,425,290,169,1358,1561,1204,483,2558,5516,297,4193,480
PAPUA BARAT,2006,191,1051,197,3864,756,12,189,2195,2033,1102,6309,173
PAPUA,2006,1012,65,96,895,350,33,88,473,464,403,298,98
