Provinsi,Tahun,Kakao_Ton
ACEH,2008,27300
ACEH,2009,29100
ACEH,2010,27600
ACEH,2011,24600
ACEH,2012,20610
ACEH,2013,28330
ACEH,2014,28000
ACEH,2015,30700
ACEH,2016,31800
ACEH,2017,27100
ACEH,2018,39300
ACEH,2019,41100
ACEH,2020,41300
SUMATERA UTARA,2008,60300
SUMATERA UTARA,2009,67300
SUMATERA UTARA,2010,63400
SUMATERA UTARA,2011,54500
SUMATERA UTARA,2012,36190
SUMATERA UTARA,2013,31790
SUMATERA UTARA,2014,19400
SUMATERA UTARA,2015,16700
SUMATERA UTARA,2016,25100
SUMATERA UTARA,2017,24300
SUMATERA UTARA,2018,35400
SUMATERA UTARA,2019,34900
SUMATERA UTARA,2020,35300
SUMATERA BARAT,2008,32200
SUMATERA BARAT,2009,33400
SUMATERA BARAT,2010,49400
SUMATERA BARAT,2011,44600
SUMATERA BARAT,2012,48110
SUMATERA BARAT,2013,58740
SUMATERA BARAT,2014,56700
SUMATERA BARAT,2015,58800
SUMATERA BARAT,2016,52200
SUMATERA BARAT,2017,46200
SUMATERA BARAT,2018,59000
SUMATERA BARAT,2019,53100
SUMATERA BARAT,2020,43300
RIAU,2008,4100
RIAU,2009,4600
RIAU,2010,3300
RIAU,2011,3600
RIAU,2012,3520
RIAU,2013,3630
RIAU,2014,3000
RIAU,2015,3100
RIAU,2016,2300
RIAU,2017,2300
RIAU,2018,3200
RIAU,2019,1100
RIAU,2020,1600
JAMBI,2008,400
JAMBI,2009,500
JAMBI,2010,800
JAMBI,2011,500
JAMBI,2012,470
JAMBI,2013,510
JAMBI,2014,500
JAMBI,2015,500
JAMBI,2016,500
JAMBI,2017,600
JAMBI,2018,800
JAMBI,2019,800
JAMBI,2020,800
SUMATERA SELATAN,2008,1200
SUMATERA SELATAN,2009,1700
SUMATERA SELATAN,2010,2100
SUMATERA SELATAN,2011,2000
SUMATERA SELATAN,2012,2550
SUMATERA SELATAN,2013,2840
SUMATERA SELATAN,2014,3100
SUMATERA SELATAN,2015,2800
SUMATERA SELATAN,2016,3300
SUMATERA SELATAN,2017,3000
SUMATERA SELATAN,2018,4100
SUMATERA SELATAN,2019,4200
SUMATERA SELATAN,2020,4200
BENGKULU,2008,5400
BENGKULU,2009,5100
BENGKULU,2010,5100
BENGKULU,2011,4100
BENGKULU,2012,4550
BENGKULU,2013,4670
BENGKULU,2014,4600
BENGKULU,2015,4000
BENGKULU,2016,4300
BENGKULU,2017,3200
BENGKULU,2018,3300
BENGKULU,2019,4700
BENGKULU,2020,3800
LAMPUNG,2008,25700
LAMPUNG,2009,26000
LAMPUNG,2010,26500
LAMPUNG,2011,20700
LAMPUNG,2012,23770
LAMPUNG,2013,25510
LAMPUNG,2014,34700
LAMPUNG,2015,33200
LAMPUNG,2016,34800
LAMPUNG,2017,34500
LAMPUNG,2018,58300
LAMPUNG,2019,58900
LAMPUNG,2020,58600
KEP. BANGKA BELITUNG,2008,0
KEP. BANGKA BELITUNG,2009,100
KEP. BANGKA BELITUNG,2010,100
KEP. BANGKA BELITUNG,2011,100
KEP. BANGKA BELITUNG,2012,140
KEP. BANGKA BELITUNG,2013,150
KEP. BANGKA BELITUNG,2014,100
KEP. BANGKA BELITUNG,2015,100
KEP. BANGKA BELITUNG,2016,200
KEP. BANGKA BELITUNG,2017,200
KEP. BANGKA BELITUNG,2018,300
KEP. BANGKA BELITUNG,2019,100
KEP. BANGKA BELITUNG,2020,200
KEP. RIAU,2008,
KEP. RIAU,2009,
KEP. RIAU,2010,
KEP. RIAU,2011,
KEP. RIAU,2012,0
KEP. RIAU,2013,0
KEP. RIAU,2014,0
KEP. RIAU,2015,0
KEP. RIAU,2016,0
KEP. RIAU,2017,0
KEP. RIAU,2018,0
KEP. RIAU,2019,0
KEP. RIAU,2020,0
DKI JAKARTA,2008,
DKI JAKARTA,2009,
DKI JAKARTA,2010,
DKI JAKARTA,2011,
DKI JAKARTA,2012,0
DKI JAKARTA,2013,0
DKI JAKARTA,2014,0
DKI JAKARTA,2015,0
DKI JAKARTA,2016,
DKI JAKARTA,2017,
DKI JAKARTA,2018,300
DKI JAKARTA,2019,
DKI JAKARTA,2020,
JAWA BARAT,2008,3700
JAWA BARAT,2009,3600
JAWA BARAT,2010,2100
JAWA BARAT,2011,2600
JAWA BARAT,2012,2620
JAWA BARAT,2013,2430
JAWA BARAT,2014,2500
JAWA BARAT,2015,2400
JAWA BARAT,2016,2300
JAWA BARAT,2017,2300
JAWA BARAT,2018,2600
JAWA BARAT,2019,2300
JAWA BARAT,2020,2300
JAWA TENGAH,2008,2700
JAWA TENGAH,2009,2600
JAWA TENGAH,2010,2700
JAWA TENGAH,2011,2400
JAWA TENGAH,2012,2370
JAWA TENGAH,2013,2010
JAWA TENGAH,2014,1900
JAWA TENGAH,2015,1800
JAWA TENGAH,2016,1600
JAWA TENGAH,2017,1800
JAWA TENGAH,2018,2100
JAWA TENGAH,2019,1800
JAWA TENGAH,2020,1700
DI YOGYAKARTA,2008,1200
DI YOGYAKARTA,2009,1200
DI YOGYAKARTA,2010,1200
DI YOGYAKARTA,2011,800
DI YOGYAKARTA,2012,1050
DI YOGYAKARTA,2013,850
DI YOGYAKARTA,2014,1000
DI YOGYAKARTA,2015,1100
DI YOGYAKARTA,2016,1200
DI YOGYAKARTA,2017,1200
DI YOGYAKARTA,2018,1800
DI YOGYAKARTA,2019,1800
DI YOGYAKARTA,2020,2000
JAWA TIMUR,2008,18300
JAWA TIMUR,2009,22700
JAWA TIMUR,2010,24200
JAWA TIMUR,2011,24800
JAWA TIMUR,2012,28580
JAWA TIMUR,2013,30360
JAWA TIMUR,2014,24900
JAWA TIMUR,2015,24800
JAWA TIMUR,2016,27400
JAWA TIMUR,2017,27000
JAWA TIMUR,2018,30100
JAWA TIMUR,2019,23700
JAWA TIMUR,2020,23300
BANTEN,2008,2400
BANTEN,2009,2100
BANTEN,2010,2100
BANTEN,2011,1600
BANTEN,2012,2910
BANTEN,2013,2590
BANTEN,2014,2400
BANTEN,2015,2200
BANTEN,2016,2400
BANTEN,2017,2500
BANTEN,2018,2800
BANTEN,2019,2500
BANTEN,2020,2200
BALI,2008,6800
BALI,2009,6800
BALI,2010,6200
BALI,2011,3700
BALI,2012,4140
BALI,2013,3970
BALI,2014,5000
BALI,2015,4300
BALI,2016,4600
BALI,2017,3600
BALI,2018,4700
BALI,2019,5000
BALI,2020,5000
NUSA TENGGARA BARAT,2008,1700
NUSA TENGGARA BARAT,2009,1500
NUSA TENGGARA BARAT,2010,1300
NUSA TENGGARA BARAT,2011,1000
NUSA TENGGARA BARAT,2012,1300
NUSA TENGGARA BARAT,2013,1170
NUSA TENGGARA BARAT,2014,1400
NUSA TENGGARA BARAT,2015,1400
NUSA TENGGARA BARAT,2016,1600
NUSA TENGGARA BARAT,2017,1500
NUSA TENGGARA BARAT,2018,2000
NUSA TENGGARA BARAT,2019,2500
NUSA TENGGARA BARAT,2020,2500
NUSA TENGGARA TIMUR,2008,11900
NUSA TENGGARA TIMUR,2009,12100
NUSA TENGGARA TIMUR,2010,13000
NUSA TENGGARA TIMUR,2011,8800
NUSA TENGGARA TIMUR,2012,11190
NUSA TENGGARA TIMUR,2013,11760
NUSA TENGGARA TIMUR,2014,11600
NUSA TENGGARA TIMUR,2015,12900
NUSA TENGGARA TIMUR,2016,14500
NUSA TENGGARA TIMUR,2017,13500
NUSA TENGGARA TIMUR,2018,20000
NUSA TENGGARA TIMUR,2019,19900
NUSA TENGGARA TIMUR,2020,20100
KALIMANTAN BARAT,2008,2200
KALIMANTAN BARAT,2009,2300
KALIMANTAN BARAT,2010,2300
KALIMANTAN BARAT,2011,1900
KALIMANTAN BARAT,2012,2270
KALIMANTAN BARAT,2013,2030
KALIMANTAN BARAT,2014,2000
KALIMANTAN BARAT,2015,1800
KALIMANTAN BARAT,2016,1900
KALIMANTAN BARAT,2017,1900
KALIMANTAN BARAT,2018,2500
KALIMANTAN BARAT,2019,2400
KALIMANTAN BARAT,2020,2100
KALIMANTAN TENGAH,2008,300
KALIMANTAN TENGAH,2009,300
KALIMANTAN TENGAH,2010,300
KALIMANTAN TENGAH,2011,200
KALIMANTAN TENGAH,2012,210
KALIMANTAN TENGAH,2013,210
KALIMANTAN TENGAH,2014,200
KALIMANTAN TENGAH,2015,400
KALIMANTAN TENGAH,2016,600
KALIMANTAN TENGAH,2017,600
KALIMANTAN TENGAH,2018,1400
KALIMANTAN TENGAH,2019,1500
KALIMANTAN TENGAH,2020,1500
KALIMANTAN SELATAN,2008,300
KALIMANTAN SELATAN,2009,0
KALIMANTAN SELATAN,2010,100
KALIMANTAN SELATAN,2011,100
KALIMANTAN SELATAN,2012,80
KALIMANTAN SELATAN,2013,70
KALIMANTAN SELATAN,2014,100
KALIMANTAN SELATAN,2015,100
KALIMANTAN SELATAN,2016,100
KALIMANTAN SELATAN,2017,100
KALIMANTAN SELATAN,2018,100
KALIMANTAN SELATAN,2019,100
KALIMANTAN SELATAN,2020,100
KALIMANTAN TIMUR,2008,23900
KALIMANTAN TIMUR,2009,12000
KALIMANTAN TIMUR,2010,8100
KALIMANTAN TIMUR,2011,8100
KALIMANTAN TIMUR,2012,7960
KALIMANTAN TIMUR,2013,4400
KALIMANTAN TIMUR,2014,4400
KALIMANTAN TIMUR,2015,2700
KALIMANTAN TIMUR,2016,2000
KALIMANTAN TIMUR,2017,1800
KALIMANTAN TIMUR,2018,2400
KALIMANTAN TIMUR,2019,2500
KALIMANTAN TIMUR,2020,3300
KALIMANTAN UTARA,2008,
KALIMANTAN UTARA,2009,
KALIMANTAN UTARA,2010,
KALIMANTAN UTARA,2011,
KALIMANTAN UTARA,2012,
KALIMANTAN UTARA,2013,2500
KALIMANTAN UTARA,2014,2500
KALIMANTAN UTARA,2015,3000
KALIMANTAN UTARA,2016,4300
KALIMANTAN UTARA,2017,900
KALIMANTAN UTARA,2018,1200
KALIMANTAN UTARA,2019,1000
KALIMANTAN UTARA,2020,1000
SULAWESI UTARA,2008,4000
SULAWESI UTARA,2009,3500
SULAWESI UTARA,2010,5000
SULAWESI UTARA,2011,3700
SULAWESI UTARA,2012,4230
SULAWESI UTARA,2013,4430
SULAWESI UTARA,2014,4600
SULAWESI UTARA,2015,4300
SULAWESI UTARA,2016,4100
SULAWESI UTARA,2017,3500
SULAWESI UTARA,2018,5900
SULAWESI UTARA,2019,5800
SULAWESI UTARA,2020,6000
SULAWESI TENGAH,2008,151900
SULAWESI TENGAH,2009,100000
SULAWESI TENGAH,2010,100000
SULAWESI TENGAH,2011,100000
SULAWESI TENGAH,2012,100000
SULAWESI TENGAH,2013,100000
SULAWESI TENGAH,2014,200000
SULAWESI TENGAH,2015,100000
SULAWESI TENGAH,2016,100000
SULAWESI TENGAH,2017,100000
SULAWESI TENGAH,2018,100000
SULAWESI TENGAH,2019,128200
SULAWESI TENGAH,2020,127300
SULAWESI SELATAN,2008,112000
SULAWESI SELATAN,2009,200000
SULAWESI SELATAN,2010,200000
SULAWESI SELATAN,2011,100000
SULAWESI SELATAN,2012,100000
SULAWESI SELATAN,2013,100000
SULAWESI SELATAN,2014,100000
SULAWESI SELATAN,2015,99300
SULAWESI SELATAN,2016,100000
SULAWESI SELATAN,2017,99500
SULAWESI SELATAN,2018,100000
SULAWESI SELATAN,2019,113400
SULAWESI SELATAN,2020,103500
SULAWESI TENGGARA,2008,117000
SULAWESI TENGGARA,2009,100000
SULAWESI TENGGARA,2010,100000
SULAWESI TENGGARA,2011,100000
SULAWESI TENGGARA,2012,100000
SULAWESI TENGGARA,2013,100000
SULAWESI TENGGARA,2014,100000
SULAWESI TENGGARA,2015,91800
SULAWESI TENGGARA,2016,100000
SULAWESI TENGGARA,2017,92900
SULAWESI TENGGARA,2018,100000
SULAWESI TENGGARA,2019,115000
SULAWESI TENGGARA,2020,114900
GORONTALO,2008,3400
GORONTALO,2009,3600
GORONTALO,2010,3700
GORONTALO,2011,2900
GORONTALO,2012,3710
GORONTALO,2013,3830
GORONTALO,2014,2900
GORONTALO,2015,2000
GORONTALO,2016,3600
GORONTALO,2017,3800
GORONTALO,2018,4900
GORONTALO,2019,4400
GORONTALO,2020,4400
SULAWESI BARAT,2008,149500
SULAWESI BARAT,2009,96900
SULAWESI BARAT,2010,96000
SULAWESI BARAT,2011,80200
SULAWESI BARAT,2012,76160
SULAWESI BARAT,2013,71820
SULAWESI BARAT,2014,72000
SULAWESI BARAT,2015,57100
SULAWESI BARAT,2016,61100
SULAWESI BARAT,2017,54300
SULAWESI BARAT,2018,71800
SULAWESI BARAT,2019,71400
SULAWESI BARAT,2020,71300
MALUKU,2008,6900
MALUKU,2009,8500
MALUKU,2010,7800
MALUKU,2011,9800
MALUKU,2012,11710
MALUKU,2013,8560
MALUKU,2014,9700
MALUKU,2015,8600
MALUKU,2016,8900
MALUKU,2017,9000
MALUKU,2018,8200
MALUKU,2019,8200
MALUKU,2020,8200
MALUKU UTARA,2008,12500
MALUKU UTARA,2009,13100
MALUKU UTARA,2010,12900
MALUKU UTARA,2011,9800
MALUKU UTARA,2012,11020
MALUKU UTARA,2013,10660
MALUKU UTARA,2014,10400
MALUKU UTARA,2015,8700
MALUKU UTARA,2016,8800
MALUKU UTARA,2017,8500
MALUKU UTARA,2018,9600
MALUKU UTARA,2019,9300
MALUKU UTARA,2020,9300
PAPUA BARAT,2008,2700
PAPUA BARAT,2009,2900
PAPUA BARAT,2010,4700
PAPUA BARAT,2011,3500
PAPUA BARAT,2012,4650
PAPUA BARAT,2013,4280
PAPUA BARAT,2014,3700
PAPUA BARAT,2015,3300
PAPUA BARAT,2016,3600
PAPUA BARAT,2017,3300
PAPUA BARAT,2018,5200
PAPUA BARAT,2019,2700
PAPUA BARAT,2020,1900
PAPUA,2008,11300
PAPUA,2009,11000
PAPUA,2010,12900
PAPUA,2011,9500
PAPUA,2012,10310
PAPUA,2013,9770
PAPUA,2014,8900
PAPUA,2015,8600
PAPUA,2016,9300
PAPUA,2017,9600
PAPUA,2018,10800
PAPUA,2019,10400
PAPUA,2020,10400
